,Name,CPU,RAM,Ổ cứng,Màn hình,Card màn hình,Cổng kết nối,Hệ điều hành,Thiết kế,Kích thước,Thời điểm ra mắt,Price
41,Laptop Dell Vostro 5581 i5 8265U/4GB/1TB/Office365/Win10 (70175950),"Intel Core i5 Coffee Lake, 8265U, 1.60 GHz","4 GB, DDR4 (2 khe), 2666 MHz","HDD: 1 TB SATA3, Hỗ trợ khe cắm SSD M.2 PCIe","15.6 inch, Full HD (1920 x 1080)",Intel® UHD Graphics 620,"2 x USB 3.1, HDMI, LAN (RJ45), USB 2.0, USB Type-C",Windows 10 + Office 365 1 năm,"Vỏ nhựa, PIN liền","Dày 20.3 mm, 1.9 kg",2018,15.790.000₫
42,Laptop Acer Aspire 3 A315 56 58EB i5 1035G1/8GB/512GB/Win10 (NX.HS5SV.00B),"Intel Core i5 Ice Lake, 1035G1, 1.00 GHz","8 GB, DDR4 (On board 4GB +1 khe 4GB), 2400 MHz","SSD 512 GB M.2 PCIe, Hỗ trợ khe cắm HDD SATA","15.6 inch, Full HD (1920 x 1080)",Intel UHD Graphics,"2 x USB 2.0, USB 3.1, HDMI, LAN (RJ45)",Windows 10 Home SL,"Vỏ nhựa, PIN liền","Dày 19.9 mm, 1.7 kg",2020,15.190.000₫
43,Laptop Lenovo IdeaPad Slim 3 15IIL05 i3 1005G1/4GB/512GB/Win10 (81WE003RVN),"Intel Core i3 Ice Lake, 1005G1, 1.20 GHz","4 GB, DDR4 (On board +1 khe), 2666 MHz","SSD 512 GB M.2 PCIe, Hỗ trợ khe cắm HDD SATA","15.6 inch, Full HD (1920 x 1080)",Intel UHD Graphics,"2 x USB 3.0, HDMI, USB 2.0",Windows 10 Home SL,"Vỏ nhựa, PIN liền","Dày 19.9 mm, 1.85 kg",2020,12.790.000₫
44,Laptop Asus VivoBook X509MA N5030/4GB/512GB/Win10 (EJ256T),"Intel Pentium, N5030, 1.10 GHz","4 GB, DDR4 (1 khe), 2666 MHz","SSD 512 GB M.2 PCIe, Hỗ trợ khe cắm HDD SATA","15.6 inch, Full HD (1920 x 1080)",Intel® UHD Graphics 605,"2 x USB 2.0, HDMI, USB 3.0, USB Type-C",Windows 10 Home SL,"Vỏ nhựa, PIN liền","Dày 22.9 mm, 1.9 kg",2020,8.790.000₫
45,Laptop Dell Inspiron 5593 i5 1035G1/8GB/256GB/2GB MX230/Win10 (N5I5513W),"Intel Core i5 Ice Lake, 1035G1, 1.00 GHz","8 GB, DDR4 (2 khe), 2666 MHz","SSD 256GB NVMe PCIe, Hỗ trợ khe cắm HDD SATA","15.6 inch, Full HD (1920 x 1080)",NVIDIA GeForce MX230 2GB,"2 x USB 3.1, HDMI, LAN (RJ45), USB 2.0, USB Type-C",Windows 10 Home SL,"Vỏ nhựa, PIN liền","Dày 19.90 mm, 2.05 kg",2019,17.790.000₫
46,Laptop Lenovo IdeaPad Slim 5 15ITL05 i5 1135G7/8GB/512GB/Win10 (82FG001PVN),"Intel Core i5 Tiger Lake, 1135G7, 2.40 GHz","8 GB, DDR4 (On board), 3200 MHz",SSD 512 GB M.2 PCIe,"15.6 inch, Full HD (1920 x 1080)",Intel® Iris® Xe Graphics,"USB Type-C (Power Delivery and DisplayPort), 2 x USB 3.2, HDMI",Windows 10 Home SL,"Vỏ nhựa - nắp lưng bằng kim loại, PIN liền","Dày 17.9 mm, 1.66 kg",2020,17.490.000₫
47,Laptop Lenovo ThinkBook 14IIL i5 1035G1/8GB/512GB/Win10 (20SL00MFVN),"Intel Core i5 Ice Lake, 1035G1, 1.00 GHz","8 GB, DDR4 (1 khe), 3200 MHz","SSD 512 GB M.2 PCIe, Hỗ trợ khe cắm HDD SATA","14 inch, Full HD (1920 x 1080)",Intel UHD Graphics,"USB Type-C (Power Delivery and DisplayPort), 2 x USB 3.1, HDMI, LAN (RJ45), USB 2.0, USB Type-C",Windows 10 Home SL,"Vỏ kim loại, PIN liền","Dày 17.9 mm, 1.5 kg",2020,16.190.000₫
48,Laptop Acer Aspire A315 56 308N i3 1005G1/4GB/256GB/Win10 (NX.HS5SV.00C),"Intel Core i3 Ice Lake, 1005G1, 1.20 GHz","4 GB, DDR4 (On board +1 khe), 2400 MHz","SSD 256GB NVMe PCIe, Hỗ trợ khe cắm HDD SATA","15.6 inch, Full HD (1920 x 1080)",Intel UHD Graphics,"2 x USB 2.0, USB 3.1, HDMI, LAN (RJ45)",Windows 10 Home SL,"Vỏ nhựa, PIN liền","Dày 19.9 mm, 1.7 kg",2020,11.790.000₫
49,Laptop Asus VivoBook A412FA i3 10110U/4GB/512GB/Win10 (EK1175T),"Intel Core i3 Comet Lake, 10110U, 2.10 GHz","4 GB, DDR4 (On board +1 khe), 2666 MHz","SSD 512 GB M.2 PCIe, Hỗ trợ khe cắm HDD SATA","14 inch, Full HD (1920 x 1080)",Intel UHD Graphics,"USB 3.1, HDMI, USB 2.0, USB Type-C",Windows 10 Home SL,"Vỏ nhựa, PIN liền","Dày 19.5 mm, 1.406 kg",2020,12.490.000₫
50,Laptop HP Pavilion 15 cs3010TU i3 1005G1/4GB/256GB/Win10 (8QN78PA),"Intel Core i3 Ice Lake, 1005G1, 1.20 GHz","4 GB, DDR4 (2 khe), 2666 MHz","SSD 256GB NVMe PCIe, Hỗ trợ khe cắm HDD SATA","15.6 inch, Full HD (1920 x 1080)",Intel UHD Graphics,"2 x USB 3.1, HDMI, LAN (RJ45), USB Type-C",Windows 10 Home SL,"Vỏ nhựa - nắp lưng bằng kim loại, PIN liền","Dày 17.9 mm, 1.69 kg",2019,13.390.000₫
51,Laptop Dell Vostro 3401 i3 1005G1/4GB/256GB+1TB/Win10 (70227392),"Intel Core i3 Ice Lake, 1005G1, 1.20 GHz","4 GB, DDR4 (2 khe), 2666 MHz","SSD 256GB NVMe PCIe, HDD: 1 TB","14 inch, Full HD (1920 x 1080)",Intel UHD Graphics,"2 x USB 3.2, HDMI, LAN (RJ45), USB 2.0",Windows 10 Home SL,"Vỏ nhựa, PIN liền","Dày 19.9 mm, 1.64 kg",2020,12.790.000₫
52,Laptop Asus Gaming Rog Strix G512 i5 10300H/8GB/512GB/144Hz/4GB GTX1650Ti/Win10 (IAL013T),"Intel Core i5 Comet Lake, 10300H, 2.50 GHz","8 GB, DDR4 (2 khe), 2933 MHz","Hỗ trợ thêm 2 khe cắm SSD M.2 PCIe, SSD 512 GB M.2 PCIe","15.6 inch, Full HD (1920 x 1080), 144Hz",NVIDIA GeForce GTX 1650Ti 4GB,"3 x USB 3.2, HDMI, LAN (RJ45), USB Type-C",Windows 10 Home SL,"Vỏ nhựa, PIN liền","Dày 25.8 mm, 2.3 kg",2020,23.990.000₫
53,Laptop Asus VivoBook A412FA i3 10110U/4GB/32GB+512GB/Win10 (EK1179T),"Intel Core i3 Comet Lake, 10110U, 2.10 GHz","4 GB, DDR4 (On board +1 khe), 2666 MHz","Intel Optane 32GB (H10), SSD 512 GB M.2 PCIe, Hỗ trợ khe cắm HDD SATA","14 inch, Full HD (1920 x 1080)",Intel UHD Graphics,"USB 3.1, HDMI, USB 2.0, USB Type-C",Windows 10 Home SL,"Vỏ nhựa, PIN liền","Dày 19.5 mm, 1.406 kg",2020,12.890.000₫
54,Laptop HP Envy 13 ba1027TU i5 1135G7/8GB/256GB/Office H&S2019/Win10 (2K0B1PA),"Intel Core i5 Tiger Lake, 1135G7, 2.40 GHz","8 GB, DDR4 (On board), 2933 MHz",SSD 256GB NVMe PCIe,"13.3 inch, Full HD (1920 x 1080)",Intel® Iris® Xe Graphics,"Thunderbolt 3, 2 x USB 3.1",Windows 10 Home SL + Office Home&Student 2019 vĩnh viễn,"Vỏ kim loại nguyên khối, PIN liền","Dày 16.9 mm, 1.236 kg",2020,22.590.000₫
55,Laptop Dell Inspiron 5593 i5 1035G1/8GB/512GB/Win10 (7WGNV1),"Intel Core i5 Ice Lake, 1035G1, 1.00 GHz","8 GB, DDR4 (On board +1 khe), 2666 MHz",SSD 512 GB M.2 PCIe,"15.6 inch, Full HD (1920 x 1080)",Intel UHD Graphics,"2 x USB 3.1, HDMI, LAN (RJ45), USB 2.0",Windows 10 Home SL,"Vỏ nhựa, PIN liền","Dày 19.9 mm, 1.83 kg",2019,17.790.000₫
56,Laptop Asus VivoBook X509JA i7 1065G7/8GB/512GB/Office H&S2019/Win10 (EJ232TS),"Intel Core i7 Ice Lake, 1065G7, 1.30 GHz","8 GB, DDR4 (On board 4GB +1 khe 4GB), 2666 MHz","SSD 512 GB M.2 PCIe, Hỗ trợ khe cắm HDD SATA","15.6 inch, Full HD (1920 x 1080)",Intel Iris Plus Graphics,"2 x USB 2.0, HDMI, USB 3.0, USB Type-C",Windows 10 Home SL + Office Home&Student 2019 vĩnh viễn,"Vỏ nhựa, PIN liền","Dày 22.9 mm, 1.8 kg",2019,18.690.000₫
57,Laptop Dell Vostro 5581 i5 8265U/4GB/1TB/2GB MX130/Win10 (VRF6J1),"Intel Core i5 Coffee Lake, 8265U, 1.60 GHz","4 GB, DDR4 (2 khe), 2666 MHz","HDD: 1 TB SATA3, Hỗ trợ khe cắm SSD M.2 PCIe","15.6 inch, Full HD (1920 x 1080)",NVIDIA Geforce MX130 2GB,"2 x USB 3.0, HDMI, LAN (RJ45), USB 2.0, USB Type-C",Windows 10 Home SL,"Vỏ nhựa, PIN liền","Dày 18.87 mm, 1.91 kg",2018,17.290.000₫
58,Laptop Asus ZenBook UX425EA i5 1135G7/8GB/512GB/Cáp/Túi/Win10 (BM069T),"Intel Core i5 Tiger Lake, 1135G7, 2.40 GHz","8 GB, LPDDR4X (On board), 4266 MHz",SSD 512 GB M.2 PCIe,"14 inch, Full HD (1920 x 1080)",Intel® Iris® Xe Graphics,"1 x USB 3.2, 2 x Thunderbolt™ 4 USB-C, HDMI",Windows 10 Home SL,"Vỏ kim loại nguyên khối, PIN liền","Dày 13.9 mm, 1.17 kg",2020,22.490.000₫
59,Laptop Acer Nitro 5 AN515 55 5206 i5/10300H/8GB/512GB/144Hz/4GB GTX1650Ti/Win10 (NH.Q7NSV.007),"Intel Core i5 Comet Lake, 10300H, 2.50 GHz","8 GB, DDR4 (2 khe), 2933 MHz","SSD 512 GB M.2 PCIe, Hỗ trợ khe cắm SSD M.2 PCIe, Hỗ trợ khe cắm HDD SATA","15.6 inch, Full HD (1920 x 1080), 144Hz",NVIDIA GeForce GTX 1650Ti 4GB,"3 x USB 3.2, HDMI, LAN (RJ45), USB Type-C",Windows 10 Home SL,"Vỏ nhựa, PIN liền","Dày 23.9 mm, 2.3 kg",2020,23.690.000₫
60,Laptop Apple MacBook Pro M1 2020 8GB/256GB (MYD82SA/A),Apple M1,8 GB,SSD: 256 GB,"13.3 inch, Retina (2560 x 1600)",8 nhân GPU,2 x Thunderbolt 3 (USB-C),Mac OS,"Vỏ kim loại nguyên khối, PIN liền","Dày 15.6 mm, 1.4 kg",2020,34.990.000₫
61,Laptop Dell Vostro 5402 i7 1165G7/16GB/512GB/2GB MX330/Touch/Win10 (70231338),"Intel Core i7 Tiger Lake, 1165G7, 2.80 GHz","16 GB, DDR4 (2 khe), 3200 MHz","SSD 512 GB M.2 PCIe, Hỗ trợ khe cắm SSD M.2 PCIe","14 inch, Full HD (1920 x 1080)",NVIDIA GeForce MX330 2GB,"2 x USB 3.2, HDMI, LAN (RJ45), USB Type-C",Windows 10 Home SL,"Vỏ nhựa - nắp lưng bằng kim loại, PIN liền","Dày 16.74 mm, 1.36 kg",2020,25.090.000₫
62,Laptop Apple MacBook Pro M1 2020 8GB/512GB (MYD92SA/A),Apple M1,8 GB,SSD 512GB,"13.3 inch, Retina (2560 x 1600)",8 nhân GPU,2 x Thunderbolt 3 (USB-C),Mac OS,"Vỏ kim loại nguyên khối, PIN liền","Dày 15.6 mm, 1.4 kg",2020,39.990.000₫
63,Laptop Asus VivoBook X509M N5000/4GB/512GB/Win10 (EJ255T),"Intel Pentium, N5000, 1.10 GHz","4 GB, DDR4 (1 khe), 2666 MHz","SSD 512 GB M.2 PCIe, Hỗ trợ khe cắm HDD SATA","15.6 inch, Full HD (1920 x 1080)",Intel® UHD Graphics 605,"2 x USB 2.0, HDMI, USB Type-C, USB 3.0",Windows 10 Home SL,"Vỏ nhựa, PIN liền","Dày 22.9 mm, 1.8 kg",2020,8.790.000₫
64,Laptop Acer Aspire 3 A315 56 36YS i3 1005G1/8GB/512GB/Win10 (NX.HS5SV.008),"Intel Core i3 Ice Lake, 1005G1, 1.20 GHz","8 GB, DDR4 (On board 4GB +1 khe 4GB), 2400 MHz","SSD 512 GB M.2 PCIe, Hỗ trợ khe cắm HDD SATA","15.6 inch, Full HD (1920 x 1080)",Intel UHD Graphics,"2 x USB 2.0, USB 3.1, HDMI, LAN (RJ45)",Windows 10 Home SL,"Vỏ nhựa, PIN liền","Dày 19.9 mm, 1.7 kg",2020,13.790.000₫
65,Laptop Asus VivoBook A412FA i5 10210U/8GB/512GB/Win10 (EK738T),"Intel Core i5 Comet Lake, 10210U, 1.60 GHz","8 GB, DDR4 (On board 4GB +1 khe 4GB), 2666 MHz","SSD 512 GB M.2 PCIe, Hỗ trợ khe cắm HDD SATA","14 inch, Full HD (1920 x 1080)",Intel UHD Graphics,"USB 3.1, HDMI, USB 2.0, USB Type-C",Windows 10 Home SL,"Vỏ nhựa, PIN liền","Dày 19.5 mm, 1.406 kg",2019,15.890.000₫
66,Laptop Lenovo IdeaPad Slim 5 14IIL05 i5 1035G1/8GB/512GB/Win10 (81YH0050VN),"Intel Core i5 Ice Lake, 1035G1, 1.00 GHz","8 GB, DDR4 (On board), 3200 MHz","SSD 512 GB M.2 PCIe, Không hỗ trợ khe cắm HDD","14 inch, Full HD (1920 x 1080)",Intel UHD Graphics,"USB Type-C (Power Delivery and DisplayPort), 2 x USB 3.0, HDMI",Windows 10 Home SL,"Vỏ nhựa - nắp lưng bằng kim loại, PIN liền","Dày 17.9 mm, 1.52 Kg",2020,16.690.000₫
67,Laptop HP Envy 13 ba1028TU i5 1135G7/8GB/512GB/Office H&S2019/Win10 (2K0B2PA),"Intel Core i5 Tiger Lake, 1135G7, 2.40 GHz","8 GB, DDR4 (On board), 2933 MHz",SSD 512 GB M.2 PCIe,"13.3 inch, Full HD (1920 x 1080)",Intel® Iris® Xe Graphics,"2x SuperSpeed USB A, Thunderbolt 3",Windows 10 Home SL + Office Home&Student 2019 vĩnh viễn,"Vỏ kim loại nguyên khối, PIN liền","Dày 16.9 mm, 1.236 kg",2020,23.290.000₫
68,Laptop Acer Swift 3 SF315 52 38YQ i3 8130U/4GB/1TB/Win10 (NX.GZBSV.003),"Intel Core i3 Coffee Lake, 8130U, 2.20 GHz","4 GB, DDR4 (2 khe), 2400 MHz","HDD: 1 TB SATA3, Hỗ trợ khe cắm SSD M.2 PCIe","15.6 inch, Full HD (1920 x 1080)",Intel® UHD Graphics 620,"2 x USB 3.0, HDMI, USB 2.0, USB Type-C",Windows 10 Home SL,"Vỏ kim loại, PIN liền","Dày 16.9 mm, 1.7 kg",2018,13.290.000₫
69,Laptop Apple MacBook Air M1 2020 8GB/256GB (MGND3SA/A),Apple M1,8 GB,SSD: 256 GB,"13.3 inch, Retina (2560 x 1600)",7 nhân GPU,2 x Thunderbolt 3 (USB-C),Mac OS,"Vỏ kim loại nguyên khối, PIN liền","Dày 4.1 mm đến 16.1 mm, 1.29 kg",2020,28.990.000₫
70,Laptop Huawei MateBook D 15 R5 3500U 8GB/256GB+1TB/Win10 (Boh-WAQ9R),"AMD Ryzen 5, 3500U, 2.10 GHz","8 GB, DDR4 (On board), 2400 MHz","SSD 256GB NVMe PCIe, HDD: 1 TB SATA3","15.6 inch, Full HD (1920 x 1080)",AMD Radeon Vega 8 Graphics,"2 x USB 2.0, HDMI, USB 3.0, USB Type-C",Windows 10 Home SL,"Vỏ kim loại, PIN liền","Dày 16.9 mm, 1.62 kg",2020,15.790.000₫
71,Laptop Acer Aspire A514 53G 513J i5 1035G1/8GB/512GB/2GB MX350/Win10 (NX.HYWSV.001),"Intel Core i5 Ice Lake, 1035G1, 1.00 GHz","8 GB, DDR4 (On board +1 khe), 2666 MHz","SSD 512 GB M.2 PCIe, Hỗ trợ khe cắm HDD SATA","14 inch, Full HD (1920 x 1080)",NVIDIA® GeForce® MX350 2GB,"2 x USB 3.1, HDMI, LAN (RJ45), USB 2.0, USB Type-C",Windows 10 Home SL,"Vỏ nhựa - nắp lưng bằng kim loại, PIN liền","Dày 17.95 mm, 1.5kg",2020,18.190.000₫
72,Laptop Acer Aspire A515 55 55HG i5 1035G1/8GB/512GB/Win10 (NX.HSMSV.004),"Intel Core i5 Ice Lake, 1035G1, 1.00 GHz","8 GB, DDR4 (On board 4GB +1 khe 4GB), 2400 MHz","SSD 512 GB M.2 PCIe, Hỗ trợ khe cắm HDD SATA","15.6 inch, Full HD (1920 x 1080)",Intel UHD Graphics,"2 x USB 3.1, HDMI, LAN (RJ45), USB 2.0, USB Type-C",Windows 10 Home SL,"Vỏ nhựa - nắp lưng bằng kim loại, PIN liền","Dày 17.95 mm, 1.7kg",2019,16.890.000₫
73,Laptop Lenovo Gaming 15IMH05 i7 10750H/8GB/512GB/4GB GTX1650/Win10 (81Y40068VN),"Intel Core i7 Comet Lake, 10750H, 2.60 GHz","8 GB, DDR4 (2 khe), 2933 MHz","SSD 512 GB M.2 PCIe, Hỗ trợ khe cắm SSD M.2 PCIe, Hỗ trợ khe cắm HDD SATA","15.6 inch, Full HD (1920 x 1080)",NVIDIA GeForce GTX 1650 4GB,"2 x USB 3.1, HDMI, LAN (RJ45), USB Type-C",Windows 10 Home SL,"Vỏ nhựa, PIN liền","Dày 23 mm, 2.2 Kg",2020,23.490.000₫
74,Laptop Lenovo IdeaPad Slim 3 14IIL05 i7 1065G7/8GB/512GB/Win10 (81WD0040VN),"Intel Core i7 Ice Lake, 1065G7, 1.30 GHz","8 GB, DDR4 (On board 4GB +1 khe 4GB), 2666 MHz","SSD 512 GB M.2 PCIe, Hỗ trợ khe cắm HDD SATA","14 inch, Full HD (1920 x 1080)",Intel Iris Plus Graphics,"2 x USB 3.0, HDMI, USB 2.0",Windows 10 Home SL,"Vỏ nhựa, PIN liền","Dày 19.9 mm, 1.6 kg",2020,18.290.000₫
75,Laptop Asus Gaming Rog Strix G512 i7 10750H/8GB/512GB/144Hz/4GB GTX1650Ti/Win10 (IAL001T),"Intel Core i7 Comet Lake, 10750H, 2.60 GHz","8 GB, DDR4 (2 khe), 2933 MHz","Hỗ trợ thêm 2 khe cắm SSD M.2 PCIe, SSD 512 GB M.2 PCIe","15.6 inch, Full HD (1920 x 1080), 144Hz",NVIDIA GeForce GTX 1650Ti 4GB,"3 x USB 3.2, HDMI, LAN (RJ45), USB Type-C",Windows 10 Home SL,"Vỏ nhựa, PIN liền","Dày 25.8 mm, 2.3 Kg",2020,28.490.000₫
76,Laptop Asus VivoBook A412F i5 10210U/8GB/32GB+512GB/Win10 (EK739T),"Intel Core i5 Comet Lake, 10210U, 1.60 GHz","8 GB, DDR4 (On board 4GB +1 khe 4GB), 2666 MHz","Intel Optane 32GB (H10), SSD 512 GB M.2 PCIe, Hỗ trợ khe cắm HDD SATA","14 inch, Full HD (1920 x 1080)",Intel UHD Graphics,"USB 3.1, HDMI, USB 2.0, USB Type-C",Windows 10 Home SL,"Vỏ nhựa, PIN liền","Dày 19.5 mm, 1.406 kg",2019,16.190.000₫
77,Laptop Lenovo ThinkBook 14IML i3 10110U/4GB/256GB/Win10 (20RV00B7VN),"Intel Core i3 Comet Lake, 10110U, 2.10 GHz","4 GB, DDR4 (On board +1 khe), 2666 MHz","SSD 256GB NVMe PCIe, Hỗ trợ khe cắm HDD SATA","14 inch, Full HD (1920 x 1080)",Intel UHD Graphics,"2 x USB 3.1, HDMI, LAN (RJ45), USB 2.0, 2 x USB Type-C",Windows 10 Home SL,"Vỏ kim loại, PIN liền","Rộng 17.9 mm, 1.5 kg",2020,11.240.000₫
78,Laptop Acer Swift 3 SF314 54 51QL i5 8250U/4GB/1TB/Win10 (NX.GXZSV.001),"Intel Core i5 Kabylake Refresh, 8250U, 1.60 GHz","4 GB, DDR4 (On board +1 khe), 2400 MHz","HDD: 1 TB, Hỗ trợ khe cắm SSD M.2 PCIe, Hỗ trợ bộ nhớ Intel® Optane™","14 inch, Full HD (1920 x 1080)",Intel® HD Graphics 620,"2 x USB 3.0, HDMI, USB 2.0, USB Type-C",Windows 10 Home SL,"Vỏ kim loại, PIN liền","Dày 18.7 mm, 1.5 Kg",2018,15.990.000₫
79,Laptop Lenovo IdeaPad Flex 5 14IIL i5 1035G1/8GB/512GB/Touch/Win10 (81X1001UVN),"Intel Core i5 Ice Lake, 1035G1, 1.00 GHz","8 GB, DDR4 (On board), 3200 MHz","SSD 512 GB M.2 PCIe, Không hỗ trợ khe cắm HDD","14 inch, Full HD (1920 x 1080)",Intel UHD Graphics,"2 x USB 3.0, HDMI, USB Type-C",Windows 10 Home SL,"Vỏ nhựa - nắp lưng bằng kim loại, PIN liền","Dày 20.4 mm, 1.5 kg",2020,18.690.000₫
80,Laptop Dell Inspiron 5406 i5 1135G7/8GB/512GB/Touch/Win10 (70232602),"Intel Core i5 Tiger Lake, 1135G7, 2.40 GHz","8 GB, DDR4 (2 khe), 3200 MHz",SSD 512 GB M.2 PCIe,"14 inch, Full HD (1920 x 1080)",Intel® Iris® Xe Graphics,"2 x USB 3.2, HDMI, USB Type-C",Windows 10 Home SL,"Vỏ nhựa - nắp lưng bằng kim loại, PIN liền","Dày 18.94 mm, 1.72 kg",2020,21.490.000₫
