,Name,CPU,RAM,Ổ cứng,Màn hình,Card màn hình,Cổng kết nối,Hệ điều hành,Thiết kế,Kích thước,Thời điểm ra mắt,Price
81,Laptop Asus VivoBook S530FN i5 8265U/4GB/1TB/2GB MX150/Win10 (BQ128T),"Intel Core i5 Coffee Lake, 8265U, 1.60 GHz","4 GB, DDR4 (2 khe), 2400 MHz","HDD: 1 TB SATA3, Hỗ trợ khe cắm SSD M.2 PCIe","15.6 inch, Full HD (1920 x 1080)",NVIDIA Geforce MX150 2GB,"2 x USB 2.0, USB 3.1, HDMI, USB Type-C",Windows 10 Home SL,"Vỏ nhựa - nắp lưng bằng kim loại, PIN liền","Dày 18 mm, 1.76 kg",2018,14.470.000₫
82,Laptop Lenovo IdeaPad Slim 5 15IIL05 i3 1005G1/8GB/512GB/Win10 (81YK004TVN),"Intel Core i3 Ice Lake, 1005G1, 1.20 GHz","8 GB, DDR4 (On board), 3200 MHz","SSD 512 GB M.2 PCIe, Hỗ trợ khe cắm HDD SATA","15.6 inch, Full HD (1920 x 1080)",Intel UHD Graphics,"USB Type-C (Power Delivery and DisplayPort), 2 x USB 3.0, HDMI",Windows 10 Home SL,"Vỏ nhựa - nắp lưng bằng kim loại, PIN liền","Dày 17.9 mm, 1.7 Kg",2020,14.790.000₫
83,Laptop Acer Aspire A514 53 5921 i5 1035G1/8GB/512GB/Win10 (NX.HUPSV.001),"Intel Core i5 Ice Lake, 1035G1, 1.00 GHz","8 GB, DDR4 (On board 4GB +1 khe 4GB), 2666 MHz","SSD 512 GB M.2 PCIe, Hỗ trợ khe cắm HDD SATA","14 inch, Full HD (1920 x 1080)",Intel UHD Graphics,"2 x USB 3.1, HDMI, LAN (RJ45), USB 2.0, USB Type-C",Windows 10 Home SL,"Vỏ nhựa - nắp lưng bằng kim loại, PIN liền","Dày 17.95 mm, 1.5kg",2020,16.690.000₫
84,Laptop Lenovo IdeaPad Slim 3 15IIL05 i5 1035G4/8GB/512GB/Win10 (81WE003QVN),"Intel Core i5 Ice Lake, 1035G4, 1.10 GHz","8 GB, DDR4 (On board 4GB +1 khe 4GB), 2666 MHz","SSD 512 GB M.2 PCIe, Hỗ trợ khe cắm HDD SATA","15.6 inch, Full HD (1920 x 1080)",Intel Iris Plus Graphics,"2 x USB 3.0, HDMI, USB 2.0",Windows 10 Home SL,"Vỏ nhựa, PIN liền","Dày 19.9 mm, 1.85 Kg",2020,15.490.000₫
85,Laptop Acer Aspire A315 56 34AY i3 1005G1/4GB/512GB/Win10 (NX.HS5SV.007),"Intel Core i3 Ice Lake, 1005G1, 1.20 GHz","4 GB, DDR4 (On board +1 khe), 2400 MHz","SSD 512 GB M.2 PCIe, Hỗ trợ khe cắm HDD SATA","15.6 inch, Full HD (1920 x 1080)",Intel UHD Graphics,"2 x USB 2.0, USB 3.1, HDMI, LAN (RJ45)",Windows 10 Home SL,"Vỏ nhựa, PIN liền","Dày 19.9 mm, 1.7 kg",2020,12.790.000₫
86,Laptop Apple MacBook Air M1 2020 8GB/256GB (MGN93SA/A),Apple M1,8 GB,SSD: 256 GB,"13.3 inch, Retina (2560 x 1600)",7 nhân GPU,2 x Thunderbolt 3 (USB-C),Mac OS,"Vỏ kim loại nguyên khối, PIN liền","Dày 4.1 mm đến 16.1 mm, 1.29 kg",2020,28.990.000₫
87,Laptop Acer Swift 3 SF315 51 54H0 i5 8250U/4GB/1TB/Win10 (NX.GSKSV.004),"Intel Core i5 Coffee Lake, 8250U, 1.60 GHz","4 GB, DDR4 (On board), 2400 MHz","HDD: 1 TB SATA3, Hỗ trợ khe cắm SSD M.2 PCIe","15.6 inch, Full HD (1920 x 1080)",Intel® UHD Graphics 620,"2 x USB 3.0, HDMI, USB 2.0, USB Type-C",Windows 10 Home SL,"Vỏ kim loại, PIN liền","Dày 18.9 mm, 1.7 kg",2019,16.690.000₫
88,Laptop Asus VivoBook A512FL i5 10210U/8GB/512GB/2GB MX250/Win10 (EJ569T),"Intel Core i5 Comet Lake, 10210U, 1.60 GHz","8 GB, DDR4 (On board 4GB +1 khe 4GB), 2666 MHz","SSD 512 GB M.2 PCIe, Hỗ trợ khe cắm HDD SATA","15.6 inch, Full HD (1920 x 1080)",NVIDIA GeForce MX250 2GB,"2 x USB 2.0, USB 3.1, HDMI, USB Type-C",Windows 10 Home SL,"Vỏ nhựa, PIN liền","Dày 19.9 mm, 1.67 kg",2019,17.790.000₫
89,Laptop HP 15s du0042TX i3 7020U/4GB/1TB/2GB MX110/Win10 (6ZF75PA),"Intel Core i3 Kabylake, 7020U, 2.30 GHz","4 GB, DDR4 (2 khe), 2133 MHz","HDD: 1 TB SATA3, Hỗ trợ khe cắm SSD M.2 PCIe","15.6 inch, Full HD (1920 x 1080)",NVIDIA GeForce MX110 2GB,"HDMI 1.4, 2 x USB 3.0, LAN (RJ45), USB Type-C",Windows 10 Home SL,"Vỏ nhựa, PIN liền","Dày 19.9 mm, 1.74 kg",2019,12.190.000₫
90,Laptop HP Envy 13 ba0047TU i7 1065G7/8GB/512GB/Office H&S2019/Win10 (171M8PA),"Intel Core i7 Ice Lake, 1065G7, 1.30 GHz","8 GB, DDR4 (On board), 3200 MHz",SSD 512 GB M.2 PCIe,"13.3 inch, Full HD (1920 x 1080)",Intel Iris Plus Graphics,"Thunderbolt 3, 2 x USB 3.1",Windows 10 Home SL + Office Home&Student 2019 vĩnh viễn,"Vỏ kim loại nguyên khối, PIN liền","Dày 16.9 mm, 1.25 kg",2020,27.490.000₫
91,Laptop Dell Inspiron 5502 i5 1135G7/8GB/512GB/2GB MX330/Win10 (N5I5310W),"Intel Core i5 Tiger Lake, 1135G7, 2.40 GHz","8 GB, DDR4 (2 khe), 3200 MHz",SSD 512 GB M.2 PCIe,"15.6 inch, Full HD (1920 x 1080)",NVIDIA GeForce MX330 2GB,"USB Type-C (Power Delivery and DisplayPort), 2 x USB 3.2, HDMI",Windows 10 Home SL,PIN liền,"Dày 17.9 mm, 1.65 kg",2020,21.190.000₫
92,Laptop MSI Gaming Leopard 10SDK GL65 i7 10750H/16GB/512GB/144Hz/6GB GTX1660Ti/Win10 (242VN),"Intel Core i7 Comet Lake, 10750H, 2.60 GHz","16 GB, DDR4 (2 khe), 2666 MHz","SSD 512 GB M.2 PCIe, Hỗ trợ khe cắm HDD SATA","15.6 inch, Full HD (1920 x 1080), 144Hz",NVIDIA GeForce GTX 1660Ti 6GB,"3 x USB 3.2, HDMI, LAN (RJ45), USB Type-C",Windows 10 Home SL,"Vỏ nhựa, PIN liền","Dày 21.7 mm, 2.3 kg",2020,32.990.000₫
93,Laptop HP Envy 13 ba1030TU i7 1165G7/8GB/512GB/Office H&S2019/Win10 (2K0B6PA),"Intel Core i7 Tiger Lake, 1165G7, 2.80 GHz","8 GB, DDR4 (On board), 2933 MHz",SSD 512 GB M.2 PCIe,"13.3 inch, Full HD (1920 x 1080)",Intel® Iris® Xe Graphics,"Thunderbolt 3, 2 x USB 3.1",Windows 10 Home SL + Office Home&Student 2019 vĩnh viễn,"Vỏ kim loại nguyên khối, PIN liền","Dày 16.9 mm, 1.236 kg",2020,28.190.000₫
94,Laptop Huawei MateBook D 15 R5 3500U/8GB/512GB/Win10 (BohrK-WAQ9CR),"AMD Ryzen 5, 3500U, 2.10 GHz","8 GB, DDR4 (On board), 2400 MHz",SSD 512 GB M.2 PCIe,"15.6 inch, Full HD (1920 x 1080)",AMD Radeon Vega 8 Graphics,"2 x USB 2.0, HDMI, USB Type-C, USB 3.0",Windows 10 Home SL,"Vỏ kim loại, PIN liền","Dày 16.9 mm, 1.62 kg",2020,16.290.000₫
95,Laptop Acer Aspire 5 A514 54 33WY i3 1115G4/4GB/256GB/Win10 (NX.A23SV.00J),"Intel Core i3 Tiger Lake, 1115G4, 3.00 GHz","4 GB, DDR4 (On board +1 khe), 2666 MHz","SSD 256GB NVMe PCIe, Hỗ trợ khe cắm HDD SATA","14 inch, Full HD (1920 x 1080)",Intel UHD Graphics,"3 x USB 3.2, HDMI, LAN (RJ45), USB Type-C",Windows 10 Home SL,"Vỏ nhựa - nắp lưng bằng kim loại, PIN liền","Dày 17.95 mm, 1.46 kg",2020,13.390.000₫
96,Laptop HP Pavilion 14 ce2035tu i3 8145U/4GB/1TB/Win10 (6YZ18PA),"Intel Core i3 Coffee Lake, 8145U, 2.10 GHz","4 GB, DDR4 (1 khe), 2666 MHz","HDD: 1 TB SATA3, Hỗ trợ khe cắm SSD M.2 PCIe","14 inch, Full HD (1920 x 1080)",Intel® UHD Graphics 620,"2 x USB 3.0, HDMI, LAN (RJ45), USB Type-C",Windows 10 Home SL,"Vỏ kim loại, PIN liền","Dày 17.9 mm, 1.6 kg",2019,12.790.000₫
97,Laptop Apple MacBook Air M1 2020 8GB/512GB (MGNE3SA/A),Apple M1,8 GB,SSD 512GB,"13.3 inch, Retina (2560 x 1600)",8 nhân GPU,2 x Thunderbolt 3 (USB-C),Mac OS,"Vỏ kim loại nguyên khối, PIN liền","Dày 4.1 mm đến 16.1 mm, 1.29 kg",2020,34.990.000₫
98,Laptop Asus VivoBook Flip TM420IA R3 4300U/4GB/256GB/Touch/Pen/Win10 (EC155T),"AMD Ryzen 3, 4300U, 2.70 GHz","4 GB, DDR4 (On board +1 khe), 3200 MHz",SSD 256GB NVMe PCIe,"14 inch, Full HD (1920 x 1080)",AMD Radeon™ Graphics,"1 x USB 3.2, HDMI, USB 2.0, USB Type-C",Windows 10 Home SL,"Vỏ nhựa - nắp lưng bằng kim loại, PIN liền","Dày 18.2 mm, 1.5 kg",2020,13.290.000₫
99,Laptop Apple MacBook Air M1 2020 8GB/256GB (MGN63SA/A),Apple M1,8 GB,SSD: 256 GB,"13.3 inch, Retina (2560 x 1600)",7 nhân GPU,2 x Thunderbolt 3 (USB-C),Mac OS,"Vỏ kim loại nguyên khối, PIN liền","Dày 4.1 mm đến 16.1 mm, 1.29 kg",2020,28.990.000₫
100,Laptop Asus VivoBook A512FA i5 10210U/8GB/512GB/Chuột/Win10 (EJ1734T),"Intel Core i5 Comet Lake, 10210U, 1.60 GHz","8 GB, DDR4 (On board 4GB +1 khe 4GB), 2666 MHz","SSD 512 GB M.2 PCIe, Hỗ trợ khe cắm HDD SATA","15.6 inch, Full HD (1920 x 1080)",Intel UHD Graphics,"2 x USB 2.0, USB 3.1, HDMI, USB Type-C",Windows 10 Home SL,"Vỏ nhựa, PIN liền","Dày 19.9 mm, 1.65 kg",2019,16.690.000₫
101,Laptop Asus VivoBook S430FA i5 8265U/4GB/1TB/Win10 (EB075T),"Intel Core i5 Coffee Lake, 8265U, 1.60 GHz","4 GB, DDR4 (On board +1 khe), 2400 MHz","HDD: 1 TB SATA3, Hỗ trợ khe cắm SSD M.2 SATA3","14 inch, Full HD (1920 x 1080)",Intel® HD Graphics 620,"2 x USB 2.0, USB 3.1, HDMI, USB Type-C",Windows 10 Home SL,"Vỏ nhựa - nắp lưng bằng kim loại, PIN liền","Dày 18 mm, 1.4 kg",2018,13.110.000₫
102,Laptop HP Envy 13 aq1057TX i7 10510U/8GB/512GB/2GB MX250/Win10 (8XS68PA),"Intel Core i7 Comet Lake, 10510U, 1.80 GHz","8 GB, DDR4 (On board), 2400 MHz",SSD 512 GB M.2 PCIe,"13.3 inch, Full HD (1920 x 1080)",NVIDIA GeForce MX250 2GB,"2 x USB 3.1, USB Type-C",Windows 10 Home SL,"Vỏ kim loại nguyên khối, PIN liền","Dày 14.7 mm, 1.17 kg",2019,29.490.000₫
103,Laptop Lenovo Yoga Slim 7 14IIL05 i5 1035G4/8GB/512GB/Win10 (82A1007UVN),"Intel Core i5 Ice Lake, 1035G4, 1.10 GHz","8 GB, DDR4 (On board), 3200 MHz",SSD 512 GB M.2 PCIe,"14 inch, Full HD (1920 x 1080)",Intel Iris Plus Graphics,"2 x USB 3.2, HDMI, USB Type-C",Windows 10 Home SL,"Vỏ kim loại, PIN liền","Dày 15.1 mm, 1.55 kg",2020,22.190.000₫
104,Laptop Asus VivoBook S530FA i3 8145U/4GB/1TB/Win10 (BQ185T),"Intel Core i3 Coffee Lake, 8145U, 2.10 GHz","4 GB, DDR4 (2 khe), 2400 MHz","HDD: 1 TB SATA3, Hỗ trợ khe cắm SSD M.2 PCIe","15.6 inch, Full HD (1920 x 1080)",Intel® UHD Graphics 620,"2 x USB 2.0, USB 3.1, HDMI, USB Type-C",Windows 10 Home SL,"Vỏ kim loại, PIN liền","Dày 18 mm, 1.8 kg",2018,11.350.000₫
105,Laptop Lenovo IdeaPad Flex 5 14IIL05 i3 1005G1/8GB/512GB/Win10 (81X1001TVN),"Intel Core i3 Ice Lake, 1005G1, 1.20 GHz","8 GB, DDR4 (On board), 3200 MHz","SSD 512 GB M.2 PCIe, Không hỗ trợ khe cắm HDD","14 inch, Full HD (1920 x 1080)",Intel UHD Graphics,"2 x USB 3.0, HDMI, USB Type-C",Windows 10 Home SL,"Vỏ nhựa - nắp lưng bằng kim loại, PIN liền","Dày 20.4 mm, 1.5 kg",2020,16.290.000₫
106,Laptop Lenovo ThinkBook 14IIL i7 1065G7/8GB/512GB/Win10 (20SL00MEVN),"Intel Core i7 Ice Lake, 1065G7, 1.30 GHz","8 GB, DDR4 (1 khe), 3200 MHz","SSD 512 GB M.2 PCIe, Hỗ trợ khe cắm HDD SATA","14 inch, Full HD (1920 x 1080)",Intel Iris Plus Graphics,"USB 3.1, HDMI, LAN (RJ45), USB 2.0, 2 x USB Type-C",Windows 10 Home SL,"Vỏ kim loại, PIN liền","Dày 17.9 mm, 1.5 Kg",2020,22.290.000₫
107,Laptop Lenovo IdeaPad C340 14IML i3 10110U/8GB/512GB/Touch/Win10 (81TK007PVN),"Intel Core i3 Comet Lake, 10110U, 2.10 GHz","8 GB, DDR4 (On board 4GB +1 khe 4GB), 2666 MHz","SSD 512 GB M.2 PCIe, Không hỗ trợ khe cắm HDD","14 inch, Full HD (1920 x 1080)",Intel UHD Graphics,"2 x USB 3.1, HDMI, USB Type-C",Windows 10 Home SL,"Vỏ nhựa, PIN liền","Dày 17.9 mm, 1.59 kg",2019,16.090.000₫
108,Laptop Acer Aspire 5 A514 54 3204 i3 1115G4/4GB/512GB/Win10 (NX.A23SV.009),"Intel Core i3 Tiger Lake, 1115G4, 3.00 GHz","4 GB, DDR4 (On board +1 khe), 2666 MHz","SSD 512 GB M.2 PCIe, Hỗ trợ khe cắm HDD SATA","14 inch, Full HD (1920 x 1080)",Intel UHD Graphics,"3 x USB 3.2, HDMI, LAN (RJ45), USB Type-C",Windows 10 Home SL,"Vỏ nhựa - nắp lưng bằng kim loại, PIN liền","Dày 17.95 mm, 1.46 kg",2020,14.290.000₫
109,Laptop Lenovo Ideapad S145 15IWL i7 8565U/8GB/512GB/2GB MX110/Win10 (81MV00TAVN),"Intel Core i7 Coffee Lake, 8565U, 1.80 GHz","8 GB, DDR4 (On board 4GB +1 khe 4GB), 2400 MHz",SSD 512 GB M.2 PCIe,"15.6 inch, Full HD (1920 x 1080)",NVIDIA GeForce MX110 2GB,"2 x USB 3.0, HDMI, USB 2.0",Windows 10 Home SL,"Vỏ nhựa, PIN liền","Dày 19.9mm, 1.73 kg",2019,18.090.000₫
110,Laptop Acer Nitro 5 A515 55 72R2 i7 10870H/8GB/512GB/144Hz/4GB GTX1650Ti/Win10 (NH.Q7NSV.005),"Intel Core i7 Comet Lake, 10870H, 2.20 GHz","8 GB, DDR4 (2 khe), 2933 MHz","SSD 512 GB M.2 PCIe, Hỗ trợ khe cắm SSD M.2 PCIe, Hỗ trợ khe cắm HDD SATA","15.6 inch, Full HD (1920 x 1080), 144Hz",NVIDIA GeForce GTX 1650Ti 4GB,"3 x USB 3.2, HDMI, LAN (RJ45), USB Type-C",Windows 10 Home SL,"Vỏ nhựa, PIN liền","Dày 23.9 mm, 2.3 kg",2020,28.990.000₫
111,Laptop Asus VivoBook X507UF i7 8550U/4GB/1TB/2GB MX130/Win10 (EJ074T),"Intel Core i7 Coffee Lake, 8550U, 1.80 GHz","4 GB, DDR4 (2 khe), 2400 MHz","HDD: 1 TB SATA3, Hỗ trợ khe cắm SSD M.2","15.6 inch, Full HD (1920 x 1080)",NVIDIA Geforce MX130 2GB,"2 x USB 2.0, HDMI, USB 3.0",Windows 10 Home SL,"Vỏ nhựa, PIN liền","Dày 21.9 mm, 1.8 kg",2018,16.690.000₫
112,Laptop Lenovo IdeaPad Slim 5 15IIL05 i5/1035G1/8GB/512GB/2GB MX330/Win10 (81YK004UVN),"Intel Core i5 Ice Lake, 1035G1, 1.00 GHz","8 GB, DDR4 (On board), 3200 MHz","SSD 512 GB M.2 PCIe, Hỗ trợ khe cắm HDD SATA","15.6 inch, Full HD (1920 x 1080)",NVIDIA GeForce MX330 2GB,"USB Type-C (Power Delivery and DisplayPort), 2 x USB 3.0, HDMI",Windows 10 Home SL,"Vỏ nhựa - nắp lưng bằng kim loại, PIN liền","Dày 17.9 mm, 1.7 Kg",2020,18.690.000₫
113,Laptop Acer Swift 5 SF514 53T 51EX i5 8265U/8GB/256GB/Touch/Win10 (NX.H7KSV.001),"Intel Core i5 Coffee Lake, 8265U, 1.60 GHz","8 GB, DDR4 (On board), 2400 MHz",SSD 256GB NVMe PCIe,"14 inch, Full HD (1920 x 1080)",Intel® UHD Graphics 620,"2 x USB 3.0, HDMI, USB Type-C",Windows 10 Home SL,"Nhôm - Magie, PIN liền","Dày 14.9 mm, 940 g",2018,23.690.000₫
114,Laptop Acer Swift 3S SF314 57G 53T1 i5 1035G1/8GB/512GB/2GB MX250/Win10 (NX.HJESV.001),"Intel Core i5 Ice Lake, 1035G1, 1.00 GHz","8 GB, LPDDR4 (On board), 2666 MHz","SSD 512 GB M.2 PCIe, Không hỗ trợ khe cắm HDD","14 inch, Full HD (1920 x 1080)",NVIDIA GeForce MX250 2GB,"Thunderbolt 3, USB 3.1, HDMI, USB 2.0",Windows 10 Home SL,"Nhôm - Magie, PIN liền","Dày 15.95 mm, 1.19kg",2019,19.690.000₫
115,Laptop Acer Aspire A514 51 58ZJ i5 8265U/4GB+16GB/1TB/Win10 (NX.H6XSV.001),"Intel Core i5 Coffee Lake, 8265U, 1.60 GHz","4 GB, DDR4 (On board +1 khe), 2666 MHz","HDD: 1 TB SATA3, Intel Optane 16GB, (Hỗ trợ thay thế SSD PCIe)","14 inch, HD 720 (1280 x 720)",Intel® UHD Graphics 620,"2 x USB 3.0, HDMI, LAN (RJ45), USB Type-C",Windows 10 Home SL,"Vỏ nhựa - nắp lưng bằng kim loại, PIN liền","Dày 22.2 mm, 1.9 kg",2018,14.690.000₫
116,Laptop Dell XPS 13 9310 i5 1135G7/8GB/512GB/Win10 (70234076),"Intel Core i5 Tiger Lake, 1135G7, 2.40 GHz","8 GB, LPDDR4X (On board), 4267 MHz",SSD 512 GB M.2 PCIe,"13.4 inch, Full HD+ (1920 x 1200)",Intel® Iris® Xe Graphics,2 x Thunderbolt™ 4 USB-C,Windows 10 Home SL,"Vỏ kim loại nguyên khối, PIN liền","Dày 14.8 m, 1.2 kg",2020,38.490.000₫
117,Laptop Asus VivoBook X407UF i7 8550U/4GB/1TB/2GB MX130/Win10 (BV022T),"Intel Core i7 Coffee Lake, 8550U, 1.80 GHz","4 GB, DDR4 (2 khe), 2400 MHz","HDD: 1 TB SATA3, Hỗ trợ khe cắm SSD M.2 SATA3","14 inch, HD (1366 x 768)",NVIDIA Geforce MX130 2GB,"HDMI, USB 2.0, USB 3.0",Windows 10 Home SL,"Vỏ nhựa, PIN liền","Dày 21.9 mm, 1.54 kg",2018,16.390.000₫
118,Laptop Acer Swift 3 SF314 57 52GB i5 1035G1/8GB/512GB/Win10 (NX.HJFSV.001),"Intel Core i5 Ice Lake, 1035G1, 1.00 GHz","8 GB, LPDDR4 (On board), 2666 MHz",SSD 512 GB M.2 PCIe,"14 inch, Full HD (1920 x 1080)",Intel UHD Graphics,"USB 3.1, HDMI, USB 2.0, USB Type-C",Windows 10 Home SL,"Nhôm - Magie, PIN liền","Dày 15.95 mm, 1.19 kg",2019,18.690.000₫
119,Laptop Dell Inspiron 15 5584 i5 8265U/8GB/2TB/2GB MX130/Win10 (N5I5353W),"Intel Core i5 Coffee Lake, 8265U, 1.60 GHz","8 GB, DDR4 (2 khe), 2666 MHz","HDD: 2 TB, Hỗ trợ khe cắm SSD M.2 PCIe","15.6 inch, Full HD (1920 x 1080)",NVIDIA Geforce MX130 2GB,"HDMI 1.4, 2 x USB 3.1, LAN (RJ45), USB 2.0",Windows 10 Home SL,"Vỏ nhựa, PIN liền","Dày 22.45 mm, 1.95 kg",2019,21.390.000₫
120,Laptop Acer Swift 3 SF314 56 596E i5 8265U/4GB/256GB/Win10 (NX.H4CSV.006),"Intel Core i5 Coffee Lake, 8265U, 1.60 GHz","4 GB, DDR4 (On board +1 khe), 2133 MHz",SSD 256GB NVMe PCIe,"14 inch, Full HD (1920 x 1080)",Intel® UHD Graphics 620,"2 x USB 3.0, HDMI, USB 2.0, USB Type-C",Windows 10 Home SL,"Vỏ kim loại, PIN liền","Dày 17.95 mm, 1.5 kg",2018,17.690.000₫
121,Laptop Apple MacBook Air M1 2020 8GB/512GB (MGNA3SA/A),Apple M1,8 GB,SSD 512GB,"13.3 inch, Retina (2560 x 1600)",8 nhân GPU,2 x Thunderbolt 3 (USB-C),Mac OS,"Vỏ kim loại nguyên khối, PIN liền","Dày 4.1 mm đến 16.1 mm, 1.29 kg",2020,34.990.000₫
